iter	Passed	Remaining
240	703	8054
241	706	8053
242	709	8053
243	712	8050
244	715	8047
245	718	8043
246	721	8038
247	724	8035
248	727	8032
249	729	8028
250	732	8024
251	735	8019
252	738	8016
253	741	8011
254	743	8007
255	746	8004
256	749	8001
257	752	7995
258	755	7994
259	758	7988
260	760	7983
261	763	7980
262	766	7977
263	769	7971
264	772	7968
265	774	7964
266	777	7961
267	780	7958
268	783	7954
269	786	7950
270	789	7949
271	792	7945
272	795	7941
273	797	7937
274	800	7933
275	803	7931
276	806	7927
277	809	7924
278	812	7921
279	815	7918
280	818	7917
281	821	7914
282	823	7909
283	826	7906
284	829	7904
285	832	7900
286	835	7896
287	837	7890
288	840	7886
289	843	7883
290	846	7880
291	849	7875
292	852	7872
293	855	7870
294	857	7866
295	860	7862
296	863	7859
297	866	7855
298	869	7851
299	872	7849
300	875	7846
301	877	7843
302	880	7841
303	884	7839
304	886	7834
305	889	7830
306	892	7824
307	894	7821
308	897	7818
309	900	7814
310	903	7811
311	906	7807
312	909	7805
313	911	7800
314	914	7797
315	917	7793
316	920	7790
317	923	7786
318	926	7783
319	928	7779
320	931	7773
321	934	7769
322	936	7764
323	939	7760
324	942	7755
325	944	7750
326	947	7746
327	950	7743
328	953	7740
329	956	7736
330	958	7732
331	961	7729
332	964	7727
333	967	7725
334	970	7723
335	973	7720
336	976	7717
337	979	7714
338	982	7711
339	985	7707
340	987	7703
341	990	7700
342	993	7696
343	996	7691
344	999	7689
345	1002	7686
346	1004	7682
347	1007	7680
348	1010	7676
349	1013	7673
350	1016	7671
351	1019	7667
352	1022	7665
353	1025	7661
354	1027	7658
355	1030	7653
356	1033	7648
357	1036	7646
358	1038	7639
359	1041	7636
360	1044	7633
361	1047	7629
362	1049	7626
363	1052	7623
364	1055	7620
365	1058	7617
366	1061	7614
367	1064	7611
368	1066	7607
369	1071	7617
370	1078	7644
371	1089	7697
372	1096	7722
373	1103	7745
374	1106	7744
375	1109	7742
376	1112	7740
377	1115	7735
378	1118	7731
379	1121	7731
380	1124	7726
381	1126	7722
382	1129	7721
383	1132	7717
384	1135	7713
385	1138	7709
386	1141	7704
387	1143	7700
388	1146	7698
389	1149	7695
390	1152	7692
391	1155	7689
392	1158	7684
393	1161	7682
394	1164	7678
395	1167	7675
396	1170	7671
397	1172	7667
398	1175	7663
399	1178	7659
400	1181	7656
401	1184	7652
402	1187	7649
403	1190	7646
404	1192	7642
405	1195	7639
406	1198	7636
407	1201	7634
408	1204	7629
409	1207	7626
410	1210	7623
411	1213	7620
412	1216	7617
413	1218	7613
414	1221	7608
415	1224	7604
416	1227	7601
417	1229	7597
418	1232	7594
419	1235	7591
420	1238	7587
421	1241	7584
422	1244	7580
423	1247	7577
424	1250	7574
425	1253	7571
426	1255	7567
427	1258	7563
428	1261	7560
429	1264	7556
430	1267	7553
431	1270	7550
432	1272	7546
433	1275	7543
434	1278	7539
435	1281	7535
436	1284	7532
437	1287	7528
438	1289	7524
439	1292	7521
440	1295	7516
441	1298	7513
442	1301	7510
443	1303	7506
444	1306	7503
445	1309	7500
446	1312	7496
447	1315	7493
448	1318	7490
449	1321	7488
450	1324	7485
451	1327	7481
452	1329	7477
453	1332	7474
454	1335	7470
455	1338	7466
456	1341	7462
457	1343	7459
458	1346	7456
459	1349	7452
460	1352	7450
461	1355	7447
462	1358	7444
463	1361	7440
464	1364	7436
465	1366	7433
466	1369	7429
467	1372	7426
468	1375	7422
469	1378	7419
470	1381	7415
471	1384	7412
472	1387	7410
473	1390	7407
474	1392	7404
475	1395	7400
476	1398	7396
477	1401	7393
478	1404	7389
479	1406	7385
480	1409	7382
481	1412	7379
482	1415	7376
483	1418	7372
484	1421	7369
485	1424	7367
486	1427	7363
487	1429	7360
488	1432	7357
489	1435	7353
490	1438	7349
491	1441	7346
492	1443	7342
493	1446	7338
494	1449	7335
495	1452	7331
496	1455	7328
497	1457	7324
498	1460	7321
499	1463	7318
500	1466	7314
501	1469	7310
502	1471	7307
503	1474	7302
504	1477	7300
505	1480	7296
506	1483	7293
507	1485	7289
508	1488	7285
509	1491	7282
510	1494	7278
511	1497	7274
512	1499	7271
513	1502	7267
514	1505	7263
515	1508	7259
516	1511	7257
517	1513	7253
518	1516	7251
519	1519	7247
520	1522	7244
521	1525	7240
522	1527	7236
523	1530	7233
524	1533	7230
525	1536	7226
526	1539	7223
527	1542	7219
528	1544	7216
529	1547	7213
530	1550	7209
531	1553	7205
532	1556	7202
533	1559	7201
534	1562	7197
535	1565	7194
536	1567	7191
537	1570	7188
538	1573	7185
539	1576	7183
540	1579	7180
541	1582	7177
542	1585	7173
543	1588	7171
544	1591	7167
545	1594	7164
546	1596	7161
547	1599	7157
548	1602	7154
549	1605	7152
550	1608	7149
551	1611	7146
552	1614	7142
553	1616	7138
554	1619	7134
555	1622	7131
556	1625	7127
557	1627	7124
558	1630	7120
559	1633	7117
560	1636	7114
561	1639	7111
562	1642	7108
563	1645	7105
564	1647	7102
565	1650	7099
566	1654	7098
567	1656	7094
568	1659	7091
569	1662	7087
570	1665	7084
571	1668	7082
572	1671	7079
573	1674	7076
574	1677	7073
575	1680	7070
576	1682	7067
577	1686	7064
578	1688	7061
579	1691	7058
580	1694	7054
581	1697	7051
582	1700	7048
583	1703	7045
584	1705	7042
585	1708	7039
586	1711	7035
587	1714	7032
588	1717	7028
589	1720	7026
590	1723	7023
591	1725	7019
592	1728	7016
593	1731	7013
594	1734	7010
595	1737	7007
596	1740	7004
597	1742	7000
598	1745	6997
599	1748	6995
600	1751	6991
601	1754	6989
602	1758	6990
603	1761	6986
604	1764	6983
605	1766	6979
606	1769	6976
607	1772	6972
608	1775	6969
609	1777	6966
610	1780	6962
611	1783	6959
612	1786	6956
613	1789	6953
614	1792	6951
615	1795	6947
616	1798	6944
617	1800	6941
618	1803	6938
619	1806	6934
620	1809	6930
621	1812	6927
622	1814	6924
623	1817	6921
624	1820	6917
625	1823	6914
626	1826	6912
627	1829	6909
628	1832	6905
629	1834	6903
630	1837	6900
631	1840	6896
632	1843	6894
633	1846	6890
634	1849	6888
635	1852	6884
636	1855	6881
637	1858	6878
638	1861	6876
639	1863	6873
640	1866	6869
641	1869	6865
642	1871	6861
643	1874	6858
644	1877	6855
645	1880	6852
646	1883	6849
647	1886	6846
648	1889	6843
649	1892	6840
650	1894	6837
651	1897	6834
652	1900	6831
653	1903	6828
654	1906	6824
655	1909	6821
656	1912	6819
657	1915	6816
658	1918	6814
659	1921	6810
660	1924	6808
661	1927	6805
662	1929	6802
663	1932	6798
664	1935	6795
665	1938	6792
666	1941	6789
667	1944	6786
668	1951	6800
669	1958	6811
670	1966	6825
671	1973	6836
672	1978	6840
673	1981	6836
674	1983	6833
675	1986	6830
676	1989	6827
677	1992	6824
678	1995	6820
679	1998	6817
680	2001	6814
681	2003	6810
682	2006	6807
683	2009	6804
684	2012	6800
685	2015	6797
686	2018	6794
687	2020	6791
688	2024	6788
689	2026	6785
690	2029	6782
691	2032	6778
692	2035	6775
693	2038	6772
694	2041	6769
695	2044	6767
696	2047	6764
697	2049	6760
698	2052	6757
699	2055	6754
700	2058	6750
701	2061	6747
702	2064	6744
703	2067	6741
704	2069	6738
705	2072	6734
706	2075	6731
707	2078	6728
708	2081	6724
709	2083	6721
710	2086	6718
711	2089	6714
712	2092	6712
713	2095	6709
714	2098	6706
715	2101	6703
716	2104	6700
717	2107	6697
718	2110	6694
719	2112	6691
720	2115	6688
721	2118	6684
722	2121	6680
723	2124	6677
724	2127	6675
725	2130	6673
726	2133	6669
727	2136	6666
728	2139	6663
729	2142	6660
730	2144	6657
731	2147	6654
732	2150	6651
733	2153	6647
734	2156	6644
735	2159	6641
736	2161	6638
737	2164	6634
738	2167	6632
739	2170	6628
740	2173	6625
741	2176	6621
742	2178	6618
743	2181	6615
744	2184	6612
745	2187	6609
746	2190	6605
747	2193	6602
748	2195	6599
749	2198	6595
750	2201	6591
751	2204	6589
752	2207	6586
753	2209	6582
754	2212	6579
755	2215	6576
756	2218	6573
757	2221	6570
758	2224	6566
759	2226	6563
760	2229	6560
761	2232	6556
762	2235	6554
763	2238	6551
764	2241	6547
765	2243	6543
766	2246	6540
767	2249	6537
768	2252	6534
769	2255	6531
770	2258	6528
771	2260	6524
772	2263	6521
773	2266	6517
774	2269	6515
775	2272	6512
776	2274	6508
777	2277	6505
778	2280	6502
779	2283	6499
780	2286	6495
781	2289	6492
782	2292	6489
783	2294	6486
784	2297	6483
785	2300	6480
786	2303	6477
787	2306	6474
788	2309	6471
789	2312	6468
790	2315	6465
791	2317	6462
792	2320	6458
793	2323	6455
794	2326	6452
795	2329	6449
796	2332	6445
797	2334	6442
798	2337	6439
799	2340	6436
800	2343	6433
801	2346	6430
802	2349	6426
803	2351	6423
804	2354	6420
805	2357	6417
806	2360	6414
807	2363	6411
808	2366	6408
809	2369	6405
810	2371	6402
811	2374	6399
812	2377	6396
813	2380	6393
814	2383	6389
815	2386	6386
816	2388	6383
817	2391	6379
818	2394	6376
819	2397	6372
820	2400	6370
821	2402	6366
822	2405	6363
823	2412	6372
824	2420	6380
825	2425	6383
826	2428	6380
827	2431	6377
828	2433	6373
829	2436	6370
830	2439	6367
831	2442	6364
832	2445	6360
833	2447	6357
834	2450	6354
835	2453	6351
836	2456	6347
837	2459	6345
838	2462	6342
839	2465	6340
840	2468	6337
841	2471	6333
842	2474	6330
843	2476	6327
844	2479	6324
845	2482	6321
846	2485	6318
847	2488	6314
848	2491	6311
849	2493	6307
850	2496	6303
851	2499	6300
852	2501	6297
853	2504	6294
854	2507	6291
855	2510	6287
856	2513	6284
857	2515	6281
858	2518	6278
859	2521	6275
860	2524	6271
861	2527	6268
862	2530	6265
863	2532	6262
864	2535	6258
865	2538	6255
866	2541	6252
867	2544	6249
868	2547	6246
869	2549	6242
870	2552	6239
871	2555	6236
872	2558	6233
873	2561	6230
874	2563	6226
875	2566	6223
876	2569	6220
877	2572	6217
878	2575	6214
879	2578	6210
880	2580	6207
881	2583	6204
882	2586	6200
883	2589	6197
884	2592	6195
885	2595	6191
886	2597	6188
887	2600	6185
888	2603	6181
889	2606	6178
890	2608	6175
891	2611	6172
892	2614	6169
893	2617	6165
894	2620	6162
895	2623	6159
896	2625	6156
897	2628	6152
898	2631	6149
899	2634	6146
900	2637	6143
901	2640	6140
902	2643	6137
903	2645	6134
904	2648	6131
905	2651	6127
906	2654	6124
907	2657	6121
908	2659	6117
909	2662	6115
910	2665	6112
911	2668	6109
912	2671	6106
913	2674	6103
914	2676	6099
915	2679	6096
916	2682	6093
917	2685	6090
918	2688	6087
919	2691	6084
920	2694	6081
921	2696	6078
922	2699	6075
923	2702	6071
924	2705	6068
925	2708	6065
926	2711	6062
927	2714	6059
928	2716	6056
929	2719	6052
930	2722	6049
931	2725	6046
932	2731	6052
933	2738	6057
934	2743	6059
935	2746	6056
936	2749	6052
937	2751	6049
938	2755	6047
939	2758	6044
940	2761	6041
941	2764	6038
942	2766	6035
943	2769	6032
944	2772	6029
945	2775	6025
946	2778	6022
947	2780	6019
948	2783	6016
949	2786	6013
950	2789	6009
951	2792	6006
952	2794	6003
953	2797	5999
954	2799	5995
955	2802	5992
956	2805	5989
957	2808	5986
958	2811	5983
959	2814	5979
960	2816	5976
961	2819	5973
962	2822	5969
963	2825	5966
964	2828	5963
965	2830	5960
966	2837	5965
967	2844	5971
968	2855	5984
969	2862	5989
970	2866	5988
971	2868	5985
972	2871	5981
973	2874	5979
974	2877	5975
975	2879	5972
976	2882	5969
977	2886	5967
978	2889	5964
979	2891	5961
980	2894	5957
981	2897	5954
982	2900	5951
983	2903	5948
984	2906	5945
985	2909	5942
986	2912	5939
987	2915	5936
988	2917	5933
989	2920	5930
990	2923	5927
991	2926	5924
992	2929	5920
993	2932	5917
994	2935	5914
995	2937	5911
996	2940	5907
997	2943	5904
998	2946	5902
999	2949	5899
1000	2952	5895
1001	2955	5892
1002	2958	5889
1003	2960	5886
1004	2963	5883
1005	2966	5880
1006	2969	5877
1007	2972	5873
1008	2975	5871
1009	2978	5867
1010	2980	5864
1011	2983	5861
1012	2986	5858
1013	2989	5855
1014	2992	5852
1015	2995	5848
1016	2998	5845
1017	3000	5842
1018	3003	5838
1019	3005	5835
1020	3008	5832
1021	3011	5829
1022	3014	5826
1023	3017	5823
1024	3020	5820
1025	3023	5816
1026	3026	5813
1027	3029	5810
1028	3032	5807
1029	3035	5805
1030	3038	5802
1031	3040	5799
1032	3044	5796
1033	3047	5793
1034	3050	5790
1035	3052	5787
1036	3055	5784
1037	3058	5780
1038	3061	5777
1039	3064	5774
1040	3067	5772
1041	3070	5769
1042	3073	5766
1043	3076	5763
1044	3078	5759
1045	3081	5756
1046	3084	5753
1047	3087	5750
1048	3089	5746
1049	3092	5744
1050	3095	5740
1051	3098	5737
1052	3101	5734
1053	3104	5731
1054	3106	5728
1055	3109	5724
1056	3112	5721
1057	3115	5718
1058	3118	5714
1059	3121	5712
1060	3123	5708
1061	3126	5705
1062	3129	5702
1063	3132	5699
1064	3135	5696
1065	3138	5693
1066	3140	5690
1067	3143	5687
1068	3146	5684
1069	3149	5681
1070	3152	5678
1071	3155	5675
1072	3158	5671
1073	3160	5668
1074	3163	5665
1075	3166	5662
1076	3169	5658
1077	3172	5655
1078	3174	5652
1079	3177	5649
1080	3180	5646
1081	3183	5643
1082	3186	5640
1083	3189	5636
1084	3192	5634
1085	3194	5630
1086	3197	5627
1087	3200	5624
1088	3203	5621
1089	3206	5618
1090	3209	5615
1091	3212	5612
1092	3214	5609
1093	3217	5606
1094	3221	5603
1095	3223	5600
1096	3226	5597
1097	3229	5594
1098	3232	5591
1099	3235	5588
1100	3238	5585
1101	3241	5582
1102	3243	5578
1103	3246	5576
1104	3249	5572
1105	3252	5569
1106	3255	5566
1107	3258	5563
1108	3261	5560
1109	3263	5557
1110	3266	5554
1111	3269	5551
1112	3272	5548
1113	3275	5544
1114	3278	5542
1115	3281	5538
1116	3283	5535
1117	3286	5532
1118	3289	5529
1119	3292	5526
1120	3295	5523
1121	3298	5520
1122	3300	5517
1123	3303	5514
1124	3306	5510
1125	3309	5507
1126	3311	5504
1127	3314	5501
1128	3317	5498
1129	3320	5495
1130	3323	5492
1131	3326	5489
1132	3328	5485
1133	3331	5482
1134	3334	5479
1135	3337	5475
1136	3340	5472
1137	3342	5469
1138	3345	5466
1139	3348	5463
1140	3351	5460
1141	3354	5457
1142	3357	5454
1143	3359	5450
1144	3362	5447
1145	3365	5444
1146	3368	5442
1147	3371	5438
1148	3373	5435
1149	3376	5432
1150	3379	5429
1151	3382	5426
1152	3385	5422
1153	3388	5419
1154	3391	5417
1155	3394	5414
1156	3397	5411
1157	3400	5408
1158	3403	5406
1159	3406	5403
1160	3408	5399
1161	3411	5396
1162	3414	5393
1163	3417	5390
1164	3420	5387
1165	3423	5384
1166	3426	5381
1167	3428	5378
1168	3432	5376
1169	3435	5373
1170	3438	5370
1171	3441	5368
1172	3444	5364
1173	3447	5361
1174	3449	5358
1175	3452	5355
1176	3455	5352
1177	3458	5348
1178	3461	5345
1179	3463	5342
1180	3466	5339
1181	3469	5336
1182	3472	5333
1183	3475	5330
1184	3477	5326
1185	3480	5323
1186	3483	5320
1187	3485	5317
1188	3488	5313
1189	3491	5310
1190	3494	5307
1191	3497	5304
1192	3499	5301
1193	3502	5298
1194	3505	5295
1195	3508	5292
1196	3511	5289
1197	3514	5286
1198	3517	5283
1199	3520	5280
1200	3523	5277
1201	3526	5274
1202	3529	5271
1203	3532	5268
1204	3534	5265
1205	3537	5262
1206	3540	5259
1207	3543	5256
1208	3545	5252
1209	3548	5249
1210	3551	5246
1211	3554	5243
1212	3557	5240
1213	3559	5236
1214	3562	5233
1215	3565	5230
1216	3567	5227
1217	3570	5224
1218	3573	5221
1219	3576	5218
1220	3579	5214
1221	3582	5211
1222	3584	5208
1223	3587	5205
1224	3590	5202
1225	3593	5199
1226	3596	5196
1227	3598	5193
1228	3601	5190
1229	3604	5187
1230	3607	5184
1231	3610	5181
1232	3613	5178
1233	3615	5174
1234	3618	5171
1235	3621	5168
1236	3624	5165
1237	3627	5162
1238	3629	5159
1239	3632	5156
1240	3635	5153
1241	3638	5149
1242	3641	5147
1243	3644	5143
1244	3646	5140
1245	3649	5137
1246	3652	5134
1247	3655	5131
1248	3658	5128
1249	3660	5124
1250	3663	5121
1251	3666	5118
1252	3669	5115
1253	3672	5112
1254	3674	5109
1255	3677	5106
1256	3680	5103
1257	3683	5100
1258	3686	5097
1259	3688	5094
1260	3691	5090
1261	3694	5087
1262	3697	5084
1263	3700	5081
1264	3702	5078
1265	3705	5075
1266	3709	5073
1267	3712	5070
1268	3715	5067
1269	3720	5067
1270	3726	5069
1271	3734	5073
1272	3741	5076
1273	3749	5079
1274	3752	5076
1275	3755	5073
1276	3758	5070
1277	3761	5068
1278	3764	5066
1279	3767	5063
1280	3771	5060
1281	3773	5057
1282	3776	5054
1283	3779	5051
1284	3782	5047
1285	3785	5044
1286	3788	5041
1287	3790	5038
1288	3793	5035
1289	3796	5033
1290	3799	5029
1291	3802	5026
1292	3805	5023
1293	3808	5020
1294	3811	5017
1295	3814	5015
1296	3817	5012
1297	3820	5009
1298	3822	5005
1299	3825	5002
1300	3828	4999
1301	3831	4996
1302	3834	4993
1303	3837	4990
1304	3839	4987
1305	3842	4984
1306	3845	4981
1307	3848	4978
1308	3851	4974
1309	3853	4971
1310	3856	4968
1311	3859	4965
1312	3862	4962
1313	3865	4959
1314	3868	4956
1315	3870	4953
1316	3873	4950
1317	3876	4947
1318	3879	4943
1319	3882	4941
1320	3885	4938
1321	3888	4935
1322	3891	4932
1323	3894	4929
1324	3896	4926
1325	3899	4923
1326	3902	4920
1327	3905	4916
1328	3908	4913
1329	3910	4910
1330	3913	4907
1331	3916	4904
1332	3919	4901
1333	3922	4898
1334	3925	4895
1335	3927	4892
1336	3930	4889
1337	3933	4886
1338	3936	4883
1339	3939	4880
1340	3942	4876
1341	3945	4873
1342	3947	4870
1343	3950	4867
1344	3953	4865
1345	3956	4861
1346	3959	4858
1347	3962	4855
1348	3964	4852
1349	3967	4849
1350	3970	4846
1351	3973	4843
1352	3976	4840
1353	3979	4837
1354	3982	4834
1355	3985	4832
1356	3988	4829
1357	3991	4826
1358	3994	4822
1359	3997	4819
1360	3999	4816
1361	4002	4813
1362	4005	4810
1363	4008	4807
1364	4011	4804
1365	4013	4801
1366	4016	4798
1367	4019	4795
1368	4022	4792
1369	4025	4789
1370	4028	4786
1371	4031	4783
1372	4034	4780
1373	4037	4777
1374	4039	4774
1375	4042	4771
1376	4045	4768
1377	4048	4765
1378	4051	4762
1379	4054	4759
1380	4056	4755
1381	4059	4752
1382	4062	4749
1383	4065	4746
1384	4068	4743
1385	4070	4740
1386	4073	4737
1387	4076	4734
1388	4079	4731
1389	4082	4728
1390	4084	4725
1391	4087	4722
1392	4090	4718
1393	4093	4715
1394	4096	4712
1395	4099	4709
1396	4102	4706
1397	4104	4703
1398	4107	4700
1399	4110	4697
1400	4113	4694
1401	4116	4691
1402	4119	4688
1403	4121	4685
1404	4124	4682
1405	4127	4679
1406	4130	4676
1407	4133	4673
1408	4136	4670
1409	4139	4667
1410	4141	4664
1411	4144	4661
1412	4147	4657
1413	4150	4654
1414	4153	4652
1415	4155	4648
1416	4158	4646
1417	4161	4643
1418	4164	4640
1419	4167	4637
1420	4170	4634
1421	4173	4631
1422	4176	4628
1423	4179	4625
1424	4182	4622
1425	4185	4619
1426	4187	4616
1427	4190	4613
1428	4193	4610
1429	4196	4607
1430	4198	4603
1431	4201	4600
1432	4204	4597
1433	4207	4594
1434	4209	4591
1435	4212	4588
1436	4215	4584
1437	4218	4581
1438	4220	4578
1439	4223	4575
1440	4226	4572
1441	4229	4569
1442	4231	4566
1443	4234	4563
1444	4237	4560
1445	4240	4557
1446	4243	4554
1447	4246	4551
1448	4249	4548
1449	4251	4545
1450	4254	4541
1451	4257	4538
1452	4260	4535
1453	4263	4532
1454	4265	4529
1455	4268	4526
1456	4271	4523
1457	4274	4520
1458	4277	4517
1459	4280	4514
1460	4282	4511
1461	4285	4508
1462	4288	4505
1463	4291	4502
1464	4294	4499
1465	4297	4496
1466	4300	4493
1467	4303	4490
1468	4305	4487
1469	4308	4484
1470	4311	4481
1471	4314	4478
1472	4317	4475
1473	4320	4472
1474	4323	4469
1475	4325	4466
1476	4328	4463
1477	4331	4460
1478	4334	4457
1479	4337	4454
1480	4340	4451
1481	4343	4448
1482	4346	4445
1483	4349	4442
1484	4351	4439
1485	4354	4436
1486	4357	4434
1487	4360	4431
1488	4363	4427
1489	4366	4424
1490	4369	4421
1491	4371	4418
1492	4374	4415
1493	4377	4412
1494	4380	4409
1495	4383	4406
1496	4386	4403
1497	4388	4400
1498	4391	4397
1499	4394	4394
1500	4396	4391
1501	4400	4388
1502	4402	4385
1503	4406	4383
1504	4409	4380
1505	4412	4377
1506	4415	4374
1507	4418	4371
1508	4421	4368
1509	4424	4365
1510	4427	4362
1511	4430	4360
1512	4433	4356
1513	4435	4353
1514	4438	4350
1515	4441	4347
1516	4444	4344
1517	4447	4341
1518	4450	4338
1519	4453	4335
1520	4455	4332
1521	4458	4329
1522	4461	4326
1523	4464	4324
1524	4467	4321
1525	4470	4318
1526	4473	4315
1527	4476	4312
1528	4479	4309
1529	4481	4306
1530	4484	4303
1531	4487	4299
1532	4490	4296
1533	4493	4293
1534	4495	4290
1535	4498	4287
1536	4501	4284
1537	4504	4281
1538	4507	4278
1539	4510	4276
1540	4513	4272
1541	4516	4270
1542	4518	4266
1543	4521	4263
1544	4524	4261
1545	4527	4257
1546	4529	4254
1547	4532	4251
1548	4535	4248
1549	4538	4245
1550	4541	4242
1551	4544	4239
1552	4546	4236
1553	4549	4233
1554	4552	4230
1555	4555	4227
1556	4558	4224
1557	4561	4221
1558	4564	4218
1559	4567	4215
1560	4570	4213
1561	4573	4210
1562	4575	4207
1563	4578	4204
1564	4581	4201
1565	4584	4198
1566	4587	4195
1567	4590	4192
1568	4597	4192
1569	4604	4193
1570	4612	4195
1571	4619	4196
1572	4624	4195
1573	4627	4192
1574	4630	4189
1575	4634	4187
1576	4637	4184
1577	4639	4181
1578	4643	4178
1579	4646	4175
1580	4649	4172
1581	4652	4169
1582	4655	4166
1583	4658	4164
1584	4661	4161
1585	4663	4158
1586	4666	4155
1587	4669	4152
1588	4672	4149
1589	4675	4146
1590	4679	4144
1591	4682	4141
1592	4685	4138
1593	4688	4135
1594	4691	4132
1595	4694	4129
1596	4696	4126
1597	4699	4123
1598	4702	4120
1599	4705	4117
1600	4708	4114
1601	4711	4111
1602	4714	4108
1603	4716	4105
1604	4719	4102
1605	4722	4099
1606	4725	4096
1607	4728	4093
1608	4730	4089
1609	4733	4087
1610	4736	4083
1611	4739	4081
1612	4742	4077
1613	4745	4074
1614	4747	4071
1615	4750	4068
1616	4753	4065
1617	4756	4062
1618	4759	4059
1619	4762	4056
1620	4765	4054
1621	4768	4051
1622	4771	4048
1623	4774	4045
1624	4776	4041
1625	4779	4038
1626	4782	4035
1627	4785	4033
1628	4788	4030
1629	4791	4027
1630	4794	4024
1631	4797	4021
1632	4800	4018
1633	4802	4015
1634	4805	4012
1635	4808	4009
1636	4811	4006
1637	4814	4003
1638	4817	4000
1639	4820	3997
1640	4823	3994
1641	4826	3991
1642	4828	3988
1643	4831	3985
1644	4834	3982
1645	4837	3979
1646	4840	3976
1647	4843	3973
1648	4846	3970
1649	4848	3967
1650	4851	3964
1651	4854	3961
1652	4857	3958
1653	4860	3955
1654	4863	3952
1655	4866	3949
1656	4869	3946
1657	4872	3943
1658	4874	3940
1659	4877	3937
1660	4880	3934
1661	4883	3931
1662	4886	3928
1663	4889	3925
1664	4892	3922
1665	4895	3919
1666	4898	3916
1667	4900	3913
1668	4903	3910
1669	4906	3907
1670	4909	3904
1671	4911	3901
1672	4914	3898
1673	4917	3895
1674	4920	3892
1675	4923	3889
1676	4926	3886
1677	4929	3883
1678	4931	3880
1679	4934	3877
1680	4937	3874
1681	4940	3871
1682	4943	3868
1683	4946	3865
1684	4948	3862
1685	4951	3859
1686	4954	3856
1687	4957	3853
1688	4960	3850
1689	4963	3847
1690	4966	3844
1691	4969	3841
1692	4971	3838
1693	4974	3835
1694	4977	3832
1695	4980	3829
1696	4983	3826
1697	4986	3823
1698	4989	3820
1699	4992	3817
1700	4995	3814
1701	4998	3811
